"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"The return of industrial policy in Brazil","https://link.springer.com/chapter/10.1057/9781137335173_20","2012","Book Chapter","","David Kupfer
João Carlos Ferraz
Felipe Silveira Marques","10.1057/9781137335173_20","https://www.researchgate.net/profile/David-Kupfer-2/publication/304861013_The_Return_of_Industrial_Policy_in_Brazil/links/581752d708aedc7d8968d6df/The-Return-of-Industrial-Policy-in-Brazil.pdf","No","64","3vF2anhqmtgJ","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's 1970s import‑substitution policy to illustrate state‑driven industrial regulation, detailing policy design, implementation, and outcomes; provides deep historical context but no cross‑country comparison.","Up to the 1970s, Brazil implemented an industrial policy aimed at substituting imports that was consensually acknowledged for being active and strong.1 Such activeness was the result of the broadness and depth with which the Brazilian state was willing to intervene in markets, taking on a leading allocating role in the economy. The strength of the industrial policy at that time stemmed from the meeting of three essential conditions to boost it: (i) co-existence with a favorable macroeconomic environment; (ii) intensive use of classic instruments (tariff barriers, financial and fiscal incentives for prioritized sectors in two National Development Plans); and (iii) use of stateowned companies (some existing since the 1950s, some created in the 1970s)."
"Industrial policy, sectoral maturation, and postwar economic growth in Brazil: The resource curse thesis","https://www.tandfonline.com/doi/abs/10.2307/144311","1995","Journal Article","Economic Geography","R. M. Auty","10.2307/144311","https://www.jstor.org/stable/pdfplus/144311.pdf","No","130","Wf7TN4vMoKcJ","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's postwar industrial policy, heavy/chemical sector, and resource curse; links policy design and regulation, offers historical insight, and briefly contrasts with East Asian models.","Resource-rich countries like Brazil have tended to favor autarkic (self-sufficient) development, in contrast to the export-oriented East Asian development model. Autarkic policy prematurely triggers a rapid expansion of heavy and chemical industry (HCI), which matures too slowly. The primary sector must therefore meet the foreign exchange and revenue transfer needs of the economy. But because the primary sector shrinks in relative size as per capita incomes rise, autarkic development proves unsustainable. Yet reform is then blocked by the vested interests that benefit from the rents which autarkic policies confer. Economic growth becomes erratic and slow. In this way a favorable natural resource endowment becomes a curse rather than a blessing, and resource-rich countries underperform, with interesting consequences for regional policy and the role of frontier regions like the Amazon."
"Industrial policy and local content: Brazil's pre-salt area case","https://scispace.com/papers/industrial-policy-and-local-content-brazil-s-pre-salt-area-wyq5u6z6m4","2017","Proceedings Article","","F. D. Jesus
J. F. Silva
T. Roitman","10.4043/28010-MS","https://scispace.com/pdf/industrial-policy-and-local-content-brazil-s-pre-salt-area-wyq5u6z6m4.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's pre‑salt local‑content rules to illustrate industrial policy design, implementation, and historical evolution; no cross‑country comparison.","The objective of this paper is to analyze the Local Content, as industrial policy in Brazil, especially in a low geological risk area as the pre-salt. The paper will regard its history, as well as its role, in the oil and gas supply chain, identifying the positive and negative aspects and discuss possible changes in the policy and its importance to the sector's growth recovery. This paper promotes the discussion of the Brazilian Local Content policy as a form of industrial policy for the development of Oil & Gas sector, which is a very representative sector in terms of investment. This work involves the policy evaluation, identifying the reasons that have led to this choice in Brazil and comparing it to other examples around the world. The paper also analyses the possibility of using different types of industrial policies applied globally in Oil & Gas sector. As the results of this study, it was identified that the Local Content policy is capable of promoting the sector's development and it can be positive for the players, especially in a low geological risk environment as Brazilian pre-salt. However, the policy must be adjusted so it allows the increase of competitiveness on a global scale, not only by the oil companies but also by the suppliers. A competitive national production is beneficial for the companies that operate in Brazil, which could reduce import of equipment, labor and services, making their production processes agiler. Regarding the suppliers, incentive policies are needed to promote their development and their establishment at a competitive level with other global companies. It was verified, however, that the policy needs adjustments, mainly with respect to focus definition of the sector's industrial policy. It is clearthat it is important to define key segments to be prioritized and to consider the Local Content policy as part of a wider industrial policy in Brazil. The paper's original contribution is therefore to bring a wider theoretical framework to the current discussions taking place in Brazil about Local Content, considering the industrial policy theories. The discussion itself is relevant, in a moment of policy changes regarding the sector's development in Brazil and representativeness of the pre-salt in terms of impacts in the industry's production chain."
"Políticas nacionales y la profundización del MERCOSUR: el impacto de las políticas de competitividad","https://scispace.com/papers/politicas-nacionales-y-la-profundizacion-del-mercosur-el-40pklixrjt","2006","Posted Content","Research Papers in Economics","Gustavo Baruj
Bernardo Kosacoff
Fernando Porta","","https://scispace.com/pdf/politicas-nacionales-y-la-profundizacion-del-mercosur-el-40pklixrjt.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's PITCE to illustrate industrial policy design and implementation; focuses on sector‑specific instruments, links regulation to policy goals, provides some historical context, but lacks cross‑country comparison.","Los paises del Mercosur tienen una larga trayectoria en la promocion de las actividades productivas, generalmente tratando de estimular la produccion y las exportaciones de manufacturas. En la decada de los noventa, hubo un cambio de enfoque y las tradicionales politicas de reserva de mercado fueron perdiendo peso en relacion con otros instrumentos mas horizontales orientados a la promocion del desempeno competitivo de las firmas, en un contexto de economias mas abiertas. El debate sobre la funcionalidad de la integracion regional, en general, y del Mercosur, en particular, tambien alcanzo a esta problematica y lo hizo en una doble perspectiva: ?que puede hacer cada pais socio para incentivar a sus sectores productivos sin violar los propositos fundamentales de la normativa regional? y ?cual es el mejor modo de aprovechar la potencialidad del mercado ampliado para estimular el desarrollo productivo de los paises socios? En este articulo, la cuestion de la profundizacion de la integracion en el Mercosur es abordada en relacion con la vigencia de determinadas politicas de promocion de la competitividad a nivel nacional. Aqui se asume que la profundizacion del proceso de integracion en el Mercosur deberia garantizar la vigencia del mercado ampliado regional y la igualacion de las condiciones de competencia para todos los productores residentes en los paises socios. Esto supone la probable colision de algunos de los instrumentos de promocion aplicados a nivel nacional con estos objetivos y con la propia institucionalidad regional, si, precisamente, su aplicacion distorsionara dichas condiciones de competencia al introducir eventuales tratamientos discriminatorios. Partiendo de un relevamiento amplio de los instrumentos aplicados en los paises del Mercosur con la finalidad de favorecer la competitividad de sus actividades productivas, el proposito es evaluar si los efectos derivados de su utilizacion benefician o comprometen aquel objetivo regional."
"Industrial policy as an effective development tool: Lessons from Brazil","https://researchrepository.ilo.org/esploro/fulltext/book/Transforming-economies/995326789302676?repId=12118045160002676&mId=13118356640002676&institution=41ILO_INST#page=302","","","","JC Ferraz
D Kupfer","","https://researchrepository.ilo.org/esploro/fulltext/book/Transforming-economies/995326789302676?repId=12118045160002676&mId=13118356640002676&institution=41ILO_INST#page=302","No","47","2RK7BCA4QakJ","","","","","","","","","Google Scholar","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's industrial policy experience to illustrate policy design and implementation; focuses on sector‑targeted regulation, links regulation to national policy, offers some historical context but lacks cross‑country comparison.",""
"Government political-relational capacities and industrial policy profile: Brazil’s experience at the beginning of the 21st Century","https://scispace.com/papers/government-political-relational-capacities-and-industrial-1ib9cu8a","2022","Journal Article","Gyeongje wa sahoe","G. Queiroz-Stein
Alfredo Alejandro Gugliano","10.1590/1982-3533.2022v31n3art02","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific case (2003‑2014) to show how relational capacities shape regulatory tools and policy design, linking industry regulation with policy outcomes; offers limited temporal evolution, no cross‑country comparison.","Abstract Formulating industrial policies is a complex process marked by advances and setbacks, reflecting the political and institutional aspects. In the present article, we aim to better understand the role of government relational capacities in delineating the industrial policy profile. Based on a qualitative research on Brazilian industrial policies between 2003 and 2014, this study highlights how the interlocution and coordination between public and private actors are crucial in shaping the industrial policy profile. Our analysis shows that between 2003 and 2007, relational capacities were built, reflected in a focused industrial policy, predominantly applying regulatory instruments oriented to promote innovation. From 2007 to 2014, there was a progressive loss in relational capacities, the industrial policy lost strategic focus, and increased the use of tax relief instruments in its management."
"A política industrial brasileira recente e as estratégias de inovação do setor moveleiro da região oeste de Santa Catarina","https://scispace.com/papers/a-politica-industrial-brasileira-recente-e-as-estrategias-de-8kzqfe7gkl","2016","Journal Article","","Darlan Christiano Kroth","10.5902/1414650921798","https://scispace.com/pdf/a-politica-industrial-brasileira-recente-e-as-estrategias-de-8kzqfe7gkl.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's recent industrial policies for the furniture sector, links regulatory frameworks to policy design, offers limited historical overview, but lacks cross‑country comparison.","This study aims to evaluate the influence of industrial policies carried out in Brazil after 2003 on the furniture industry innovation strategies of the Santa Catarina West Region. As empirical strategy was field research conducted through semi-structured interviews in 14 export companies in the region. The interviews assessed a set of three elements related to the topic: i) characterization of the companies; ii) innovation strategies of enterprises; and, iii) contribution of industrial policy actions on innovations. The main findings relate to that industry is characterized mostly by small business that make residential furniture, and are in the market for over 20 years, do not have a deliberate policy of innovation, although monitor and carry out improvements in products and production processes steadily. The main changes refer to ""technological change product"" and ""technological change in production processes"" and to a lesser extent ""organizational innovation"". In terms of industrial policy, the results showed that they contributed marginally to stimulate their innovation and the improvement of policy should consider training programs to labor and improvement of labor legislation, lines of subsidized credit, tax subsidies and the improvement in infrastructure."
"Making and remaking “good government” in Brazil: Subnational industrial policy in Minas Gerais","https://www.cambridge.org/core/journals/latin-american-politics-and-society/article/making-and-remaking-good-government-in-brazil-subnational-industrial-policy-in-minas-gerais/A85FC224FE389C49C2F61360A79CC0A8","2001","Journal Article","Latin American Politics and Society","Alfred P. Montero","10.1111/J.1548-2456.2001.TB00399.X","https://people.carleton.edu/~amontero/LAPS%202001.pdf","No","38","v7Om95wuVrMJ","","","","","","","","","SciSpace","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Minas Gerais case to illustrate Brazil's subnational industrial policy design and implementation; links agency coordination to policy success; offers limited historical context; lacks international comparison.","Comparative examples of “good government” at the subnational level may underanalyze the “public goods” problem facing politicians. Delegating authority and resources to policymaking agencies is possible when political conflict is low. The benefits can be maintained only if public agencies establish ties of “horizontal embeddedness” with industrial clients. This case study of innovative industrial policymaking in Minas Gerais, which is compared with one from Rio de Janeiro, finds that horizontal, interagency ties were critical to policy success. The contrast leads to an examination of the mineiro system's efficacy in promoting externalities, attracting foreign investment, and planning infrastructure in the state's automotive industry."
"Institutions and industrial policy in Brazil after two decades: have we built the needed institutions?","https://www.tandfonline.com/doi/abs/10.1080/10438599.2020.1719629","2020","Journal Article","Economics of Innovation and New Technology","Wilson Suzigan
Renato Garcia
Paulo Henrique Assis Feitosa","10.1080/10438599.2020.1719629","","No","71","-oo02qJJOE0J","","","","","","","","","SciSpace","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses two‑decade Brazilian case to assess industrial policy design, implementation, and institutional impact; focuses on sector‑specific regulation and policy processes, offers limited historical overview, no cross‑country comparison.","This paper aims to examine the design and implementation of industrial policy in Brazil based on their capacity to affect the prevailing institutions. We argue that the main reason for the failure ..."
"O enigma da política industrial no Brasil","https://scispace.com/papers/o-enigma-da-politica-industrial-no-brasil-35graup6u7","2015","Journal Article","Revista de Economia Política","José Tavares De Araújo","10.1590/0101-31572015V35N03A05","https://scispace.com/pdf/o-enigma-da-politica-industrial-no-brasil-35graup6u7.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 98/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil's industrial policy, focusing on tariffs, local‑content rules, and antidumping, linking regulation and policy; mentions import‑substitution legacy, no foreign comparison.","The puzzle of the industrial policy in Brazil. Over the last 10 years, the Brazilian government has launched several industrial plans to promote innovation and strengthen the competitiveness of the domestic industry. However, the results have been poor due to the distortions created by some instruments inherited from the import substitution age, such as high tariffs on intermediate goods and machinery, local content rules and antidumping protection. This paper highlights the role played by those instruments using two examples: antidumping investigations and a peculiar local content rule that exists only in Brazil, the so-called Basic Productive Process (PPB)."
"Where is Brazil going? Taking stock of recent trends in industrial and trade policies and the challenges ahead","https://scispace.com/papers/where-is-brazil-going-taking-stock-of-recent-trends-in-3l2myxuwoa","2014","Journal Article","Social Science Research Network","Mauricio Mesquita Moreira
Claudio Frischtack","10.2139/SSRN.2479536","https://scispace.com/pdf/where-is-brazil-going-taking-stock-of-recent-trends-in-3l2myxuwoa.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 97/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific trade and industrial policy shifts to analyze regulation, design, and outcomes; details sectoral protection measures and policy evolution, but lacks cross‑country comparison.","Brazil’s trade and industrial policies in the last decade has taken an increasingly sharp turn towards boosting and protecting the local manufacturing industry, particular after the 2008 financial crisis. This paper reviews these policies and their initial results and argues that, while they have brought some short-term relief, they have done so at the cost of undermining the fundamentals of long-term growth. The country’s recent lackluster economic performance—an unfortunate combination of high inflation, low growth, and a deteriorating current account deficit seem to confirm this view."
"O processo de industrialização e as políticas industriais no brasil","https://scispace.com/papers/o-processo-de-industrializacao-e-as-politicas-industriais-no-1q5cbylpn3","2018","","","Márcio Luiz Ribeiro
Luciano De Souza Costa","","https://revistas.unila.edu.br/orbis/article/download/1380/1371","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 93/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazilian industrial data to trace post‑war policy impacts, analyzes subsidies, patents, standards as regulatory tools, evaluates state‑led policy effectiveness; limited cross‑country comparison.","O objetivo e analisar o processo historico de industrializacao brasileira e avaliar, por meio de estatisticas descritivas, as politicas industriais no pos-guerra com base nos dados do Instituto Brasileiro de Geografia e Estatistica (IBGE), da Federacao das Industrias do Estado de Sao Paulo (FIESP) e da Organizacao para Cooperacao e Desenvolvimento Economico (OCDE). Durante todo o governo militar a industria aumentou mais de 5,3%, sendo que o planejamento do Estado foi determinante desse crescimento. Entre 1985 a 2002, periodo de maior abertura economica, a industria caiu 4,7% e, novamente, declinou mais 6% entre 2003 e 2014. Assim, a industria de transformacao brasileira que representava 11,9% do Produto Interno Bruto (PIB) em 1947, passou a representar somente 10,9% do PIB em 2014. Embora os dados coloquem em duvida a efetividade da politica industrial no Brasil, a intervencao do Estado se justifica pela coordenacao do processo de criacao e difusao de tecnologias por meio de subsidios, incentivos fiscais, financiamento, regulacao do direito de patentes e padroes tecnicos, investimento em sistema de inovacao regional e investimento em educacao. A ausencia de uma politica industrial efetiva associada a problemas estruturais da economia brasileira explicam a baixa competitividade da industria no Brasil."
